index,band,grade,source_kind,issues,relative_path,display_topic,problem_text,expressions,computed_answer,matched_choice,validation_status,solver_name,source_preview
6,초등,1,generated_auto,ocr_noise_high|expression_missing|solve_failed|answer_missing|card_needs_review,02.학습문제/05.문제은행/00.자동검증/01.초등/1학년/변화와 관계/규칙 찾기/elementary_g01_003_easy_table_pattern.png,arithmetic,아래 표의 수량은 모두 몇 개인지 구하시오,,,,failed,arithmetic_solver,아래 표의 수량은 모두 몇 개인지 구하시오 초등 1학년ㆍ규칙 찾기ㆍ기본 table - pattern 아래 표의 수량은 모두 몇 개인지 구하시오. a 42 16 27 18 항복 0Co | ： AS 1학년ㆍ규칙 찾기ㆍ기본 table - pattern ： 아래 표의 SSS 모두 몇 개인지 구하시오. table_row_2 42 16 2 18 초등 1학년ㆍ규칙 찾기ㆍ기본 table - patte...
17,초등,1,generated_auto,ocr_noise_high,02.학습문제/05.문제은행/00.자동검증/01.초등/1학년/자료와 가능성/분류하고 세기/elementary_g01_008_easy_table_statistics.png,arithmetic,아래 표에서 가장 S 값과 가장 작은 값의 차를 구하시오,43-13,30,,needs_review,safe_eval_solver,아래 표에서 가장 S 값과 가장 작은 값의 차를 구하시오 초등 1학년ㆍ분류하고 세기ㆍ기본 table - statistics 아래 표에서 가장 S 값과 가장 작은 값의 차를 구하시오. 항목 A B 6 ㅁ 값 13 22 43 43 아래 표에서 가장 큰 값과 가장 작은 값의 차를 구하시오. ： 초등 1학년ㆍ분류하고 세기ㆍ기본 table - statistics ： 항목 iA Bc 1] tabl...
26,초등,1,generated_curriculum,card_needs_review,02.학습문제/05.문제은행/01.초등/1학년/변화와 관계/규칙 찾기/elementary_g01_003_easy_table_pattern.png,pattern,아래 표의 규칙을 보고 SHA 값을 구하시오,answer=13; answer=5,13,,verified,table_lookup_solver,아래 표의 규칙을 보고 SHA 값을 구하시오 초등 1학년ㆍ규칙 찾기ㆍ기본 table - pattern 아래 표의 규칙을 보고 5번째 값을 구하시오. 순서 1 2 3 4 값 5 7 9 1 할 15 0000 17000 19 00000 000 ： 초등 1학년ㆍ규칙 찾기ㆍ기본 table - pattern ： 아래 표의 규칙을 보고 SHA 값을 구하시오. table_row_1 1 2 3 tabl...
27,초등,1,generated_curriculum,card_needs_review,02.학습문제/05.문제은행/01.초등/1학년/변화와 관계/규칙 찾기/elementary_g01_007_easy_word_pattern.png,pattern,6째 날에는 몇 개를 BS)?,answer=27,27,,verified,table_lookup_solver,6째 날에는 몇 개를 BS)? ： 초등 1학년ㆍ규칙 찾기ㆍ기본 word - pattern ： 첫째 날 2개를 만들고 매일 5개씩 더 많이 만듭니다. 6째 날에는 몇 개를 BS)? 초등 1학년ㆍ규칙 찾기ㆍ기본 word - pattern 첫째 날 2개를 만들고 매일 574 더 많이 만듭니다. 6째 날에는 몇 개를 만듭니까? ： 초등 1학년ㆍ규칙 찾기ㆍ기본 word - pattern ： 첫째...
36,초등,1,pdf_capture,ocr_noise_high,02.학습문제/05.문제은행/01.초등/1학년/원문PDF캡처/skai/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]_page_001.png,linear_equation,3. | | 안에 알맞은 수를 써넣으시오. : 8. 가장 작은 수와 가장 큰 수의 Be 구하시오,14-6=; 2 7+| |=14,8,,verified,safe_eval_solver,"3. | | 안에 알맞은 수를 써넣으시오. : 8. 가장 작은 수와 가장 큰 수의 Be 구하시오 번 Ae 단원평가 조 1-2 이름 : [3회] 6단원. 덧셈과 밸셈(3) 수 : 1. 10을 이용하여 모으기와 가르기를 한 것입니 ： 6, HHS 해 보세요 다. 빈칸에 알맞은 수를 넣어 보세요. _ _010100101 01010101@0 9 61 - \ejeje| | | ee ㅣ 10 | ..."
37,초등,1,pdf_capture,ocr_noise_high|solve_failed|card_needs_review,02.학습문제/05.문제은행/01.초등/1학년/원문PDF캡처/skai/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]_page_001_tile_r1_c1.png,calculus_derivative,ea) Bee =,,,,failed,arithmetic_solver,"ea) Bee = ea) Bee = Citas 호 6단원 6099 [38l] 1. 10을 이용하여 모으기와 가르기를 한 것입니 다. 빈칸에 알맞은 수를 넣어 보세요. 9 0"" 10 fo] ae - goo, !3회 6단원. 미분 5 321] 6단원. ea) Bee = Citas 호 6단원 6099 [38l] 1. 10을 이용하여 모으기와 가르기를 한 것입니 다. 빈칸에 알맞은 수를 넣어 ..."
38,초등,1,pdf_capture,ocr_noise_high|topic_unknown|card_topic_unknown,02.학습문제/05.문제은행/01.초등/1학년/원문PDF캡처/skai/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]_page_001_tile_r1_c2.png,unknown,덧셈과 밸셈(3) 점수 : 6. 덧셈을 해 보세요. 0101010101 010101010 10101 01 0101 0101010|10 84?=| ㅣ 멋셈과 밸셈(3) 다 이이 | 1 이이 | 01010 | 8+?=| |,,0.0101010101010101010101010101010101010,,verified,arithmetic_solver,덧셈과 밸셈(3) 점수 : 6. 덧셈을 해 보세요. 0101010101 010101010 10101 01 0101 0101010|10 84?=| ㅣ 멋셈과 밸셈(3) 다 이이 | 1 이이 | 01010 | 8+?=| | 덧셈과 밸셈(3) 점수 : 6. 덧셈을 해 보세요. @0101010101 010101010@ 10101 01 0101 0101010|10@ 84?=| ㅣ 멋셈과 밸셈(3...
39,초등,1,pdf_capture,ocr_noise_high,02.학습문제/05.문제은행/01.초등/1학년/원문PDF캡처/skai/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]_page_001_tile_r2_c1.png,linear_equation,8+ 5=,8+ 5=; 14-6 =| |; 14-6=[ |; 8+5=|_|,13,,needs_review,safe_eval_solver,8+ 5= 2. | ㅣ 안에 알맞은 수를 써넣으시오. 14-6 =| | 4» 3. | ㅣ 안에 알맞은 48 써넣으시오. 8+5=|_| / 2 | | 2. [ ㅣ 안에 알맞은 수를 써넣으시오 14-6=[ | 3. [ ㅣ 안에 알맞은 수를 써넣으시오 8+ 5= 2 2. [ ㅣ 안에 알맞은 수를 써넣으시오. 3.. [ ㅣ 안에 알맞은 수를 써넣으시오. 2. | ㅣ 안에 알맞은 수를 써넣으시오...
40,초등,1,pdf_capture,ocr_noise_high|solve_failed|answer_missing|card_needs_review,02.학습문제/05.문제은행/01.초등/1학년/원문PDF캡처/skai/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]_page_001_tile_r2_c2.png,linear_equation,8. 가장 작은 수와 가장 큰 수의 합을 구하시오,7+( |= 14,,,failed,arithmetic_solver,8. 가장 작은 수와 가장 큰 수의 합을 구하시오 2 7. ㅣ | 안에 알맞은 수를 써 넣으세요. 7+( |= 14 8. 가장 작은 수와 가장 B AO] HS 구하시오. 7 0 8 9 7.) 안에 알맞은 수를 써 넣으세요. 8. 가장 작은 수와 가장 큰 42] HS 구하시오. 7 6 8 9 7. 안에 알맞은 수를 써 넣으세요. 7+| ]=피 8. 가장 작은 수와 가장 큰 수의 합을 구하...
41,초등,1,pdf_capture,ocr_noise_high,02.학습문제/05.문제은행/01.초등/1학년/원문PDF캡처/skai/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]/skai_g1_01_01_초1-2-6.덧셈과_뺄셈(3)_[3회]_page_001_tile_r3_c1.png,arithmetic,6+8 9+4,6+8 9+4; 8+4T+7,99,,verified,direct_numeric_solver,"6+8 9+4 4, 합이 14인 덧셈식을 모두 찾아 색칠해 보세요. 8+4T+7 6+8 9+4 5 . WAS 해 보세요 u-6-[__ | 4, 합이 1491 덧셈식을 모두 찾아 색칠해 보세요. 5 . wale 해 보세요. 0 | 4. 합이 14인 덧셈식을 모두 찾아 색칠해 보세요. 4, 합이 14인 덧셈식을 모두 찾아 색칠해 보세요. 8+4T+7 6+8 9+4 5 . WAS 해 보세요 ..."
